Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
     09/01/2023,109.12,.1091,0.43,0.40,.0020,.0010,10.0000,.0004,.0991,991.2000,5.4911,2.1345,.0000,08/20/2025,09/02/2025,.5800
     12/01/2023,109.12,.1091,0.43,0.40,.0020,.0010,10.0000,.0004,.0991,991.2000,5.4911,2.1345,.0000,08/20/2025,09/02/2025,.5800
     03/01/2024,109.12,.1091,0.43,0.40,.0020,.0010,10.0000,.0004,.0991,991.2000,5.4911,2.1345,.0000,08/20/2025,09/02/2025,.5800
     06/03/2024,109.12,.1091,0.43,0.40,.0020,.0010,10.0000,.0004,.0991,991.2000,5.4911,2.1345,.0000,08/20/2025,09/02/2025,.5800
     05/20/2025,109.12,109.1200,0.43,0.40,1.9918,1.0000,105.6800,.4300,3.4400,3.2551,3.2551,2.1345,2.3200,08/20/2025,09/02/2025,.5800
     06/02/2025,109.12,.6547,0.43,0.40,.0120,.0060,98.3333,.0026,.0647,10.9695,10.9695,2.1345,.0100,08/20/2025,09/02/2025,.5800
     07/08/2025,109.12,109.1200,0.43,0.40,1.9918,1.0000,102.3000,.4300,6.8200,6.6667,6.6667,2.1345,2.3200,08/20/2025,09/02/2025,.5800
     07/30/2025,109.12,109.1200,0.43,0.40,1.9918,1.0000,100.2100,.4300,8.9100,8.8913,8.8913,2.1345,2.3200,08/20/2025,09/02/2025,.5800
     08/01/2025,109.12,109.1200,0.43,0.40,1.9918,1.0000,97.4500,.4300,11.6700,11.9754,11.9754,2.1345,2.3200,08/20/2025,09/02/2025,.5800
     09/02/2025,109.12,2.4006,0.43,0.40,.0438,.0220,106.3636,.0095,.0606,2.5915,2.5915,2.1345,.0500,08/20/2025,09/02/2025,.5800
ABBV,218.38,880.7265,-1.84,-0.84,16.0763,4.0330,184.5549,-7.4207,136.4165,18.3279,18.3300,2.9788,26.4600,10/15/2025,11/14/2025,1.6400
     06/20/2025,218.38,218.3800,-1.84,-0.84,3.9862,1.0000,185.5000,-1.8400,32.8800,17.7251,17.7251,2.9788,6.5600,10/15/2025,11/14/2025,1.6400
     06/20/2025,218.38,218.3800,-1.84,-0.84,3.9862,1.0000,185.0000,-1.8400,33.3800,18.0432,18.0432,2.9788,6.5600,10/15/2025,11/14/2025,1.6400
     06/23/2025,218.38,218.3800,-1.84,-0.84,3.9862,1.0000,184.2500,-1.8400,34.1300,18.5237,18.5237,2.9788,6.5600,10/15/2025,11/14/2025,1.6400
     06/27/2025,218.38,218.3800,-1.84,-0.84,3.9862,1.0000,183.0000,-1.8400,35.3800,19.3333,19.3333,2.9788,6.5600,10/15/2025,11/14/2025,1.6400
     08/15/2025,218.38,7.2065,-1.84,-0.84,.1315,.0330,198.7879,-.0607,.6465,9.8558,9.8558,2.9788,.2200,10/15/2025,11/14/2025,1.6400
MDT,94.05,379.2096,-0.20,-0.21,6.9219,4.0320,82.6488,-.8064,45.9696,13.7947,13.7900,2.9920,11.4500,09/26/2025,10/17/2025,.7100
     04/25/2025,94.05,188.1000,-0.20,-0.21,3.4335,2.0000,83.7500,-.4000,20.6000,12.2985,12.2985,2.9920,5.6800,09/26/2025,10/17/2025,.7100
     05/06/2025,94.05,94.0500,-0.20,-0.21,1.7167,1.0000,82.4500,-.2000,11.6000,14.0691,14.0691,2.9920,2.8400,09/26/2025,10/17/2025,.7100
     05/23/2025,94.05,94.0500,-0.20,-0.21,1.7167,1.0000,80.4500,-.2000,13.6000,16.9049,16.9049,2.9920,2.8400,09/26/2025,10/17/2025,.7100
     07/11/2025,94.05,3.0096,-0.20,-0.21,.0549,.0320,88.7500,-.0064,.1696,5.9718,5.9718,2.9920,.0900,09/26/2025,10/17/2025,.7100
CARR,61.665,184.9950,-0.64,-1.02,3.3768,3.0000,65.8333,-1.9050,-12.5050,-6.3316,-6.3300,1.4446,2.7000,07/21/2025,08/08/2025,.2250
     08/01/2025,61.665,61.6650,-0.64,-1.02,1.1256,1.0000,66.7500,-.6350,-5.0850,-7.6180,-7.6180,1.4446,.9000,07/21/2025,08/08/2025,.2250
     08/06/2025,61.665,61.6650,-0.64,-1.02,1.1256,1.0000,65.7500,-.6350,-4.0850,-6.2129,-6.2129,1.4446,.9000,07/21/2025,08/08/2025,.2250
     08/11/2025,61.665,61.6650,-0.64,-1.02,1.1256,1.0000,65.0000,-.6350,-3.3350,-5.1308,-5.1308,1.4446,.9000,07/21/2025,08/08/2025,.2250
GLW,77.03,154.5222,1.56,2.07,2.8206,2.0060,45.3290,3.1294,63.5922,69.9353,69.9400,1.4840,2.2500,08/29/2025,09/29/2025,.2800
     04/21/2025,77.03,77.0300,1.56,2.07,1.4061,1.0000,40.3500,1.5600,36.6800,90.9046,90.9046,1.4840,1.1200,08/29/2025,09/29/2025,.2800
     06/20/2025,77.03,77.0300,1.56,2.07,1.4061,1.0000,50.3000,1.5600,26.7300,53.1412,53.1412,1.4840,1.1200,08/29/2025,09/29/2025,.2800
     06/27/2025,77.03,.4622,1.56,2.07,.0084,.0060,46.6667,.0094,.1822,65.0643,65.0643,1.4840,.0100,08/29/2025,09/29/2025,.2800
DELL,125.03,250.0600,-0.34,-0.27,4.5645,2.0000,125.4500,-.6800,-.8400,-.3348,-.3300,1.6750,4.2000,10/21/2025,10/31/2025,.5250
     08/26/2025,125.03,125.0300,-0.34,-0.27,2.2822,1.0000,130.4000,-.3400,-5.3700,-4.1181,-4.1181,1.6750,2.1000,10/21/2025,10/31/2025,.5250
     09/09/2025,125.03,125.0300,-0.34,-0.27,2.2822,1.0000,120.5000,-.3400,4.5300,3.7593,3.7593,1.6750,2.1000,10/21/2025,10/31/2025,.5250
TROW,105.63,211.2600,-0.06,-0.06,3.8562,2.0000,104.7200,-.1200,1.8200,.8690,.8700,4.8065,10.1600,09/15/2025,09/29/2025,1.2700
     08/20/2025,105.63,105.6300,-0.06,-0.06,1.9281,1.0000,105.2500,-.0600,.3800,.3610,.3610,4.8065,5.0800,09/15/2025,09/29/2025,1.2700
     08/21/2025,105.63,105.6300,-0.06,-0.06,1.9281,1.0000,104.1900,-.0600,1.4400,1.3821,1.3821,4.8065,5.0800,09/15/2025,09/29/2025,1.2700
VZ,43.97,65.0316,-0.17,-0.39,1.1871,1.4790,41.6362,-.2514,3.4516,5.6051,3.1200,6.2528,4.0800,10/10/2025,11/03/2025,.6900
     12/16/2022,43.97,17.6759,-0.17,-0.39,.3226,.4020,36.7662,-.0683,2.8959,19.5936,9.9525,6.2528,1.1100,10/10/2025,11/03/2025,.6900
